year,month,day,type,magnitude,umbral_magnitude,penumbral_magnitude,cat_num
-1801,4,30,T,1.1104,1.1104,2.0532,492
-1801,10,23,P,0.6232,0.6232,1.7085,493
-1800,3,20,N,0.2186,-0.7944,0.2186,494
-1800,4,18,N,0.6444,-0.3352,0.6444,495
-1800,9,12,N,0.1777,-0.815,0.1777,496
-1800,10,12,N,0.4956,-0.5326,0.4956,497
-1799,3,9,P,0.4607,0.4607,1.5267,498
-1799,9,2,P,0.5157,0.5157,1.4761,499
-1798,2,26,T-,1.7958,1.7958,2.8769,500
-1798,8,22,T+,1.7754,1.7754,2.7484,501
-1797,2,15,P,0.523,0.523,1.5707,502
-1797,8,12,P,0.5662,0.5662,1.5865,503
-1796,1,6,N,0.4754,-0.5044,0.4754,504
-1796,2,5,N,0.3134,-0.6814,0.3134,505
-1796,7,2,N,0.3506,-0.7218,0.3506,506
